ts,amount_bymin,amount_powerfit,amount_norm,amount_powerfit_norm
2020-06-05 09:30:00,2.7712790699999994,13.107723305316217,4.381025727384495,6.649606478981349
2020-06-05 09:31:00,2.05060785,9.288765843163757,2.8758895471758117,4.310237262447038
2020-06-05 09:32:00,2.0262977000000015,7.593912915529552,2.825117315267761,3.272025445543007
2020-06-05 09:33:00,2.035596710000002,6.582468128094518,2.8445384826499174,2.652447243010216
2020-06-05 09:34:00,1.827548700000001,5.891667392011936,2.410026074798499,2.2292851646769334
2020-06-05 09:35:00,1.8519915699999994,5.381413481403156,2.461075495066919,1.9167202034475284
2020-06-05 09:36:00,1.7543612700000004,4.984634220765663,2.2571726712319022,1.673666124607009
2020-06-05 09:37:00,1.4049917200000004,4.664654851781935,1.5275074155994837,1.4776571632228972
2020-06-05 09:38:00,1.3502238599999996,4.399506460840367,1.413123650422063,1.31523587685625
2020-06-05 09:39:00,1.2837843999999987,4.175120084203053,1.2743635164465048,1.1777840755944609
2020-06-05 09:40:00,1.5250320800000012,3.982012987663631,1.778214095576626,1.0594929446730845
2020-06-05 09:41:00,1.3986632300000015,3.8135295176489614,1.5142902383337018,0.9562854470370545
2020-06-05 09:42:00,1.327306390000001,3.664842131223581,1.3652600584003851,0.8652043867902016
2020-06-05 09:43:00,1.1599726799999996,3.532352568941895,1.0157802760808554,0.7840455871477487
2020-06-05 09:44:00,1.2254512899999999,3.4133165661238682,1.1525336557159884,0.7111280007615336
2020-06-05 09:45:00,1.7308753500000007,3.3055997329304976,2.2081218600763153,0.6451441697886939
2020-06-05 09:46:00,1.3971457400000005,3.2075136494477343,1.5111209302793212,0.5850598230673608
2020-06-05 09:47:00,1.1566215299999993,3.117702776321033,1.0087813326371213,0.5300446012470436
2020-06-05 09:48:00,1.0851537,3.0350645525589814,0.8595193478807401,0.4794231113001361
2020-06-05 09:49:00,0.95853088,2.9586917518714535,0.595065069240264,0.43263961588821975
2020-06-05 09:50:00,1.2768263800000013,2.8878301217199653,1.2598315532516768,0.38923208442113766
2020-06-05 09:51:00,1.0413160999999997,2.8218467361027413,0.7679636481630289,0.3488128070017327
2020-06-05 09:52:00,0.99401045,2.7602060000849633,0.6691648570259434,0.31105369558098583
2020-06-05 09:53:00,1.0999629999999998,2.7024512114218657,0.8904488655511754,0.2756749892076124
2020-06-05 09:54:00,0.8360091600000003,2.6481902195798077,0.33917601953824095,0.24243646921048595
2020-06-05 09:55:00,0.9789575399999996,2.597084147732231,0.6377265550240601,0.21113055065992245
2020-06-05 09:56:00,0.99478947,2.5488384333975986,0.6707918557939893,0.1815767941536811
2020-06-05 09:57:00,0.8011829800000005,2.5031956445931156,0.2664408497662891,0.15361750522622517
2020-06-05 09:58:00,0.8345071199999998,2.459929670082278,0.3360389791162281,0.12711417548320036
2020-06-05 09:59:00,0.6843764299999994,2.41884098350301,0.02248804630848417,0.10194458156025855
2020-06-05 10:00:00,0.9621001699999988,2.379752754390579,0.6025196024137343,0.07800040286209572
2020-06-05 10:01:00,1.0252967100000001,2.3425076327299927,0.7345068334537185,0.05518525188375973
2020-06-05 10:02:00,0.7967969899999993,2.30696507337479,0.2572806223951511,0.03341303523656496
2020-06-05 10:03:00,0.6707278799999999,2.272999096371518,-0.006017221894658978,0.012606581695659983
2020-06-05 10:04:00,0.6434285200000003,2.240496401665796,-0.06303247835590804,-0.007303512669759521
2020-06-05 10:05:00,0.7346258200000007,2.2093547737677848,0.12743489699917557,-0.026379861746534124
2020-06-05 10:06:00,0.6374818700000001,2.1794817251011733,-0.07545217518525864,-0.044679120417855836
2020-06-05 10:07:00,0.7939631800000003,2.1507933369460797,0.2513621538335294,-0.062252694563975614
2020-06-05 10:08:00,0.6038676699999999,2.123213264838154,-0.14565610061573603,-0.07914735032238594
2020-06-05 10:09:00,0.45407148999999986,2.096671881537775,-0.45850840263364173,-0.09540573907703542
2020-06-05 10:10:00,0.5793789499999998,2.071105535630874,-0.1968012795213125,-0.11106685161536728
2020-06-05 10:11:00,0.5956412700000009,2.0464559077633604,-0.16283710067408047,-0.12616641247818627
2020-06-05 10:12:00,0.5076375000000001,2.02266944966813,-0.3466347250911688,-0.14073722359348015
2020-06-05 10:13:00,0.44969331000000007,1.9996968936873623,-0.46765231866440227,-0.15480946472711904
2020-06-05 10:14:00,0.5850217200000007,1.9774928225534216,-0.18501624211743567,-0.1684109570210924
2020-06-05 10:15:00,0.5211089400000009,1.9560152908694883,-0.3184993546464997,-0.18156739486217147
2020-06-05 10:16:00,0.6001181400000006,1.9352254911038407,-0.15348706861495306,-0.1943025504829561
2020-06-05 10:17:00,0.6125110199999992,1.9150874580401713,-0.12760429218746855,-0.20663845500600508
2020-06-05 10:18:00,0.49830961000000085,1.895567806558051,-0.3661162089278699,-0.21859555907100126
2020-06-05 10:19:00,0.6173781599999998,1.8766354983902243,-0.11743917346919681,-0.2301928757116512
2020-06-05 10:20:00,0.6355527599999997,1.8582616341466072,-0.07948115979852373,-0.2414481077550246
2020-06-05 10:21:00,0.48578142999999996,1.8404192674324413,-0.39228156209705595,-0.2523777616867315
2020-06-05 10:22:00,0.4985809500000002,1.8230832383389979,-0.36554950993975593,-0.26299724964910504
2020-06-05 10:23:00,0.49799419999999994,1.8062300239649038,-0.3667749489877282,-0.27332098100697877
2020-06-05 10:24:00,0.35964868,1.789837603946879,-0.6557123197929396,-0.28336244471918626
2020-06-05 10:25:00,0.3675517299999998,1.7738853392505212,-0.6392066426424106,-0.293134283587387
